RequestCertificateMethodType,441,Method
RequestCertificateMethodType_InputArguments,442,Variable
RequestCertificateMethodType_OutputArguments,443,Variable
CertificateRequestType,450,ObjectType
CertificateRequestType_EventId,451,Variable
CertificateRequestType_EventType,452,Variable
CertificateRequestType_SourceNode,453,Variable
CertificateRequestType_SourceName,454,Variable
CertificateRequestType_Time,455,Variable
CertificateRequestType_ReceiveTime,456,Variable
CertificateRequestType_LocalTime,457,Variable
CertificateRequestType_Message,458,Variable
CertificateRequestType_Severity,459,Variable
CertificateRequestType_ConditionClassId,460,Variable
CertificateRequestType_ConditionClassName,461,Variable
CertificateRequestType_ConditionName,462,Variable
CertificateRequestType_BranchId,463,Variable
CertificateRequestType_Retain,464,Variable
CertificateRequestType_EnabledState,465,Variable
CertificateRequestType_EnabledState_Id,466,Variable
CertificateRequestType_EnabledState_Name,467,Variable
CertificateRequestType_EnabledState_Number,468,Variable
CertificateRequestType_EnabledState_EffectiveDisplayName,469,Variable
CertificateRequestType_EnabledState_TransitionTime,470,Variable
CertificateRequestType_EnabledState_EffectiveTransitionTime,471,Variable
CertificateRequestType_EnabledState_TrueState,472,Variable
CertificateRequestType_EnabledState_FalseState,473,Variable
CertificateRequestType_Quality,474,Variable
CertificateRequestType_Quality_SourceTimestamp,475,Variable
CertificateRequestType_LastSeverity,476,Variable
CertificateRequestType_LastSeverity_SourceTimestamp,477,Variable
CertificateRequestType_Comment,478,Variable
CertificateRequestType_Comment_SourceTimestamp,479,Variable
CertificateRequestType_ClientUserId,480,Variable
CertificateRequestType_Enable,481,Method
CertificateRequestType_Disable,482,Method
CertificateRequestType_AddComment,483,Method
CertificateRequestType_AddComment_InputArguments,484,Variable
CertificateRequestType_ConditionRefresh,485,Method
CertificateRequestType_ConditionRefresh_InputArguments,486,Variable
CertificateRequestType_DialogState,487,Variable
CertificateRequestType_DialogState_Id,488,Variable
CertificateRequestType_DialogState_Name,489,Variable
CertificateRequestType_DialogState_Number,490,Variable
